"year","month","currency","cat","country","period","value","files"
2016,"03","千美元","总值","缅甸","A",385343,"2016-03-D.html"
2016,"03","千美元","第1类","缅甸","A",2138,"2016-03-D.html"
2016,"03","千美元","01章","缅甸","A",NA,"2016-03-D.html"
2016,"03","千美元","02章","缅甸","A",NA,"2016-03-D.html"
2016,"03","千美元","03章","缅甸","A",2138,"2016-03-D.html"
2016,"03","千美元","04章","缅甸","A",NA,"2016-03-D.html"
2016,"03","千美元","05章","缅甸","A",NA,"2016-03-D.html"
2016,"03","千美元","第2类","缅甸","A",36078,"2016-03-D.html"
2016,"03","千美元","06章","缅甸","A",NA,"2016-03-D.html"
2016,"03","千美元","07章","缅甸","A",2428,"2016-03-D.html"
2016,"03","千美元","08章","缅甸","A",4568,"2016-03-D.html"
2016,"03","千美元","09章","缅甸","A",NA,"2016-03-D.html"
2016,"03","千美元","10章","缅甸","A",6707,"2016-03-D.html"
2016,"03","千美元","11章","缅甸","A",NA,"2016-03-D.html"
2016,"03","千美元","12章","缅甸","A",22348,"2016-03-D.html"
2016,"03","千美元","13章","缅甸","A",NA,"2016-03-D.html"
2016,"03","千美元","14章","缅甸","A",26,"2016-03-D.html"
2016,"03","千美元","第3类","缅甸","A",NA,"2016-03-D.html"
2016,"03","千美元","15章","缅甸","A",NA,"2016-03-D.html"
2016,"03","千美元","第4类","缅甸","A",1294,"2016-03-D.html"
2016,"03","千美元","16章","缅甸","A",NA,"2016-03-D.html"
2016,"03","千美元","17章","缅甸","A",692,"2016-03-D.html"
2016,"03","千美元","18章","缅甸","A",NA,"2016-03-D.html"
2016,"03","千美元","19章","缅甸","A",6,"2016-03-D.html"
2016,"03","千美元","20章","缅甸","A",NA,"2016-03-D.html"
2016,"03","千美元","21章","缅甸","A",NA,"2016-03-D.html"
2016,"03","千美元","22章","缅甸","A",48,"2016-03-D.html"
2016,"03","千美元","23章","缅甸","A",548,"2016-03-D.html"
2016,"03","千美元","24章","缅甸","A",NA,"2016-03-D.html"
2016,"03","千美元","31章","缅甸","A",NA,"2016-03-D.html"
2016,"03","千美元","50章","缅甸","A",NA,"2016-03-D.html"
2016,"03","千美元","51章","缅甸","A",NA,"2016-03-D.html"
2016,"03","千美元","52章","缅甸","A",NA,"2016-03-D.html"
2016,"03","千美元","总值","缅甸","B",951543,"2016-03-D.html"
2016,"03","千美元","第1类","缅甸","B",6906,"2016-03-D.html"
2016,"03","千美元","01章","缅甸","B",NA,"2016-03-D.html"
2016,"03","千美元","02章","缅甸","B",NA,"2016-03-D.html"
2016,"03","千美元","03章","缅甸","B",6906,"2016-03-D.html"
2016,"03","千美元","04章","缅甸","B",NA,"2016-03-D.html"
2016,"03","千美元","05章","缅甸","B",NA,"2016-03-D.html"
2016,"03","千美元","第2类","缅甸","B",43065,"2016-03-D.html"
2016,"03","千美元","06章","缅甸","B",NA,"2016-03-D.html"
