"year","month","currency","cat","country","period","value","files"
2018,"05","千美元","总值","缅甸","A",1055910,"2018-05-D.html"
2018,"05","千美元","第1类","缅甸","A",11851,"2018-05-D.html"
2018,"05","千美元","01章","缅甸","A",NA,"2018-05-D.html"
2018,"05","千美元","02章","缅甸","A",NA,"2018-05-D.html"
2018,"05","千美元","03章","缅甸","A",NA,"2018-05-D.html"
2018,"05","千美元","04章","缅甸","A",166,"2018-05-D.html"
2018,"05","千美元","05章","缅甸","A",11685,"2018-05-D.html"
2018,"05","千美元","第2类","缅甸","A",16384,"2018-05-D.html"
2018,"05","千美元","06章","缅甸","A",651,"2018-05-D.html"
2018,"05","千美元","07章","缅甸","A",23,"2018-05-D.html"
2018,"05","千美元","08章","缅甸","A",8395,"2018-05-D.html"
2018,"05","千美元","09章","缅甸","A",4629,"2018-05-D.html"
2018,"05","千美元","10章","缅甸","A",NA,"2018-05-D.html"
2018,"05","千美元","11章","缅甸","A",1265,"2018-05-D.html"
2018,"05","千美元","12章","缅甸","A",1121,"2018-05-D.html"
2018,"05","千美元","13章","缅甸","A",300,"2018-05-D.html"
2018,"05","千美元","14章","缅甸","A",NA,"2018-05-D.html"
2018,"05","千美元","第3类","缅甸","A",2,"2018-05-D.html"
2018,"05","千美元","15章","缅甸","A",2,"2018-05-D.html"
2018,"05","千美元","第4类","缅甸","A",23448,"2018-05-D.html"
2018,"05","千美元","16章","缅甸","A",280,"2018-05-D.html"
2018,"05","千美元","17章","缅甸","A",1096,"2018-05-D.html"
2018,"05","千美元","18章","缅甸","A",NA,"2018-05-D.html"
2018,"05","千美元","19章","缅甸","A",1090,"2018-05-D.html"
2018,"05","千美元","20章","缅甸","A",116,"2018-05-D.html"
2018,"05","千美元","21章","缅甸","A",15493,"2018-05-D.html"
2018,"05","千美元","22章","缅甸","A",3183,"2018-05-D.html"
2018,"05","千美元","23章","缅甸","A",571,"2018-05-D.html"
2018,"05","千美元","24章","缅甸","A",1619,"2018-05-D.html"
2018,"05","千美元","31章","缅甸","A",28016,"2018-05-D.html"
2018,"05","千美元","50章","缅甸","A",777,"2018-05-D.html"
2018,"05","千美元","51章","缅甸","A",3865,"2018-05-D.html"
2018,"05","千美元","52章","缅甸","A",25781,"2018-05-D.html"
2018,"05","千美元","总值","缅甸","B",4690254,"2018-05-D.html"
2018,"05","千美元","第1类","缅甸","B",44997,"2018-05-D.html"
2018,"05","千美元","01章","缅甸","B",NA,"2018-05-D.html"
2018,"05","千美元","02章","缅甸","B",30,"2018-05-D.html"
2018,"05","千美元","03章","缅甸","B",NA,"2018-05-D.html"
2018,"05","千美元","04章","缅甸","B",609,"2018-05-D.html"
2018,"05","千美元","05章","缅甸","B",44359,"2018-05-D.html"
2018,"05","千美元","第2类","缅甸","B",99603,"2018-05-D.html"
2018,"05","千美元","06章","缅甸","B",1845,"2018-05-D.html"
2018,"05","千美元","07章","缅甸","B",51,"2018-05-D.html"
2018,"05","千美元","08章","缅甸","B",76568,"2018-05-D.html"
2018,"05","千美元","09章","缅甸","B",8300,"2018-05-D.html"
2018,"05","千美元","10章","缅甸","B",NA,"2018-05-D.html"
2018,"05","千美元","11章","缅甸","B",4687,"2018-05-D.html"
2018,"05","千美元","12章","缅甸","B",7641,"2018-05-D.html"
2018,"05","千美元","13章","缅甸","B",511,"2018-05-D.html"
2018,"05","千美元","14章","缅甸","B",NA,"2018-05-D.html"
2018,"05","千美元","第3类","缅甸","B",52,"2018-05-D.html"
2018,"05","千美元","15章","缅甸","B",52,"2018-05-D.html"
2018,"05","千美元","第4类","缅甸","B",91477,"2018-05-D.html"
2018,"05","千美元","16章","缅甸","B",1907,"2018-05-D.html"
2018,"05","千美元","17章","缅甸","B",4369,"2018-05-D.html"
2018,"05","千美元","18章","缅甸","B",11,"2018-05-D.html"
2018,"05","千美元","19章","缅甸","B",4699,"2018-05-D.html"
2018,"05","千美元","20章","缅甸","B",458,"2018-05-D.html"
2018,"05","千美元","21章","缅甸","B",56354,"2018-05-D.html"
2018,"05","千美元","22章","缅甸","B",16308,"2018-05-D.html"
2018,"05","千美元","23章","缅甸","B",2781,"2018-05-D.html"
2018,"05","千美元","24章","缅甸","B",4590,"2018-05-D.html"
2018,"05","千美元","31章","缅甸","B",84987,"2018-05-D.html"
2018,"05","千美元","50章","缅甸","B",2287,"2018-05-D.html"
2018,"05","千美元","51章","缅甸","B",12358,"2018-05-D.html"
2018,"05","千美元","52章","缅甸","B",101055,"2018-05-D.html"
2018,"05","千美元","总值","中国香港","A",24480389,"2018-05-D.html"
2018,"05","千美元","第1类","中国香港","A",195998,"2018-05-D.html"
2018,"05","千美元","01章","中国香港","A",34647,"2018-05-D.html"
2018,"05","千美元","02章","中国香港","A",52000,"2018-05-D.html"
2018,"05","千美元","03章","中国香港","A",77638,"2018-05-D.html"
2018,"05","千美元","04章","中国香港","A",15440,"2018-05-D.html"
2018,"05","千美元","05章","中国香港","A",16273,"2018-05-D.html"
2018,"05","千美元","第2类","中国香港","A",264286,"2018-05-D.html"
2018,"05","千美元","06章","中国香港","A",699,"2018-05-D.html"
2018,"05","千美元","07章","中国香港","A",171417,"2018-05-D.html"
2018,"05","千美元","08章","中国香港","A",26038,"2018-05-D.html"
2018,"05","千美元","09章","中国香港","A",30185,"2018-05-D.html"
2018,"05","千美元","10章","中国香港","A",1248,"2018-05-D.html"
2018,"05","千美元","11章","中国香港","A",4164,"2018-05-D.html"
2018,"05","千美元","12章","中国香港","A",16328,"2018-05-D.html"
2018,"05","千美元","13章","中国香港","A",13437,"2018-05-D.html"
2018,"05","千美元","14章","中国香港","A",770,"2018-05-D.html"
2018,"05","千美元","第3类","中国香港","A",9799,"2018-05-D.html"
2018,"05","千美元","15章","中国香港","A",9799,"2018-05-D.html"
2018,"05","千美元","第4类","中国香港","A",358919,"2018-05-D.html"
2018,"05","千美元","16章","中国香港","A",88230,"2018-05-D.html"
2018,"05","千美元","17章","中国香港","A",4056,"2018-05-D.html"
2018,"05","千美元","18章","中国香港","A",2121,"2018-05-D.html"
2018,"05","千美元","19章","中国香港","A",39289,"2018-05-D.html"
2018,"05","千美元","20章","中国香港","A",34591,"2018-05-D.html"
2018,"05","千美元","21章","中国香港","A",28691,"2018-05-D.html"
2018,"05","千美元","22章","中国香港","A",129429,"2018-05-D.html"
2018,"05","千美元","23章","中国香港","A",1332,"2018-05-D.html"
2018,"05","千美元","24章","中国香港","A",31181,"2018-05-D.html"
2018,"05","千美元","31章","中国香港","A",252,"2018-05-D.html"
2018,"05","千美元","50章","中国香港","A",8994,"2018-05-D.html"
2018,"05","千美元","51章","中国香港","A",43993,"2018-05-D.html"
