X1,X2,X3,X4,X5,href
31,4676,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(十四)(7599字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821418&cs=13066393&str=对部分国家+出口商品类章+海关统计
32,4675,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(十三)(7730字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821417&cs=3984415&str=对部分国家+出口商品类章+海关统计
33,4674,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(十二)(7535字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821416&cs=2652679&str=对部分国家+出口商品类章+海关统计
34,4673,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(十一)(7668字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821415&cs=2780276&str=对部分国家+出口商品类章+海关统计
35,4672,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(十)(8469字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821414&cs=12903781&str=对部分国家+出口商品类章+海关统计
36,4671,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(九)(8469字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821413&cs=3145324&str=对部分国家+出口商品类章+海关统计
37,4670,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(八)(7693字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821412&cs=168196&str=对部分国家+出口商品类章+海关统计
38,4669,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(七)(7714字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821411&cs=5822824&str=对部分国家+出口商品类章+海关统计
39,4668,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(六)(7633字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821410&cs=13388261&str=对部分国家+出口商品类章+海关统计
40,4667,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(五)(7825字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821409&cs=8968708&str=对部分国家+出口商品类章+海关统计
41,4666,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(四)(7719字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821408&cs=11740738&str=对部分国家+出口商品类章+海关统计
42,4665,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(三)(7691字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821407&cs=4045658&str=对部分国家+出口商品类章+海关统计
43,4664,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(二)(7963字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821406&cs=4664023&str=对部分国家+出口商品类章+海关统计
44,4663,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(一)(7927字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821405&cs=14906421&str=对部分国家+出口商品类章+海关统计
45,4662,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(二十二)(7856字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820828&cs=14051203&str=对部分国家+出口商品类章+海关统计
46,4661,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(二十一)(7826字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820827&cs=7371741&str=对部分国家+出口商品类章+海关统计
47,4660,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(二十)(7445字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820826&cs=10462612&str=对部分国家+出口商品类章+海关统计
48,4659,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(十九)(7458字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820825&cs=12463887&str=对部分国家+出口商品类章+海关统计
49,4658,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(十八)(7726字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820824&cs=16416618&str=对部分国家+出口商品类章+海关统计
50,4657,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(十七)(7685字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820823&cs=12573746&str=对部分国家+出口商品类章+海关统计
