"year","month","type","currency","V0","V1","V2","V3","page"
2006,"07","出口","万美元","北京",67641.8,73997.1,-8.6,29
2006,"07","出口","万美元","天津",36963.3,27995.1,32,29
2006,"07","出口","万美元","河北",43145.6,43703.4,-1.3,29
2006,"07","出口","万美元","山西",4374.4,2401.8,82.1,29
2006,"07","出口","万美元","内蒙古",15704.5,17700.9,-11.3,29
2006,"07","出口","万美元","辽宁",126175.7,112281.7,12.4,29
2006,"07","出口","万美元","吉林",41726.5,54912.1,-24,29
2006,"07","出口","万美元","黑龙江",37127.5,41555.5,-10.7,29
2006,"07","出口","万美元","上海",57452.4,51309.5,12,29
2006,"07","出口","万美元","江苏",71415,55437.4,28.8,29
2006,"07","出口","万美元","浙江",150865.7,141750.7,6.4,29
2006,"07","出口","万美元","安徽",19303.9,16945.6,13.9,29
2006,"07","出口","万美元","福建",132090.7,116435.7,13.4,29
2006,"07","出口","万美元","江西",9066.7,9735.6,-6.9,29
2006,"07","出口","万美元","山东",428462.2,374022.3,14.6,29
2006,"07","出口","万美元","河南",24892.8,23155.1,7.5,29
2006,"07","出口","万美元","湖北",22223.9,16863.1,31.8,29
2006,"07","出口","万美元","湖南",17898.5,15312.6,16.9,29
2006,"07","出口","万美元","广东",198321.2,183703.2,8,29
2006,"07","出口","万美元","广西",19791.2,17936.1,10.3,29
2006,"07","出口","万美元","海南",12175.9,7556.2,61.1,29
2006,"07","出口","万美元","重庆",6194,7095.5,-12.7,29
2006,"07","出口","万美元","四川",25333.7,23015.3,10.1,29
2006,"07","出口","万美元","贵州",3971.8,3870.7,2.6,29
2006,"07","出口","万美元","云南",28230,24982.4,13,29
2006,"07","出口","万美元","西藏",2230.6,1698.4,31.3,29
2006,"07","出口","万美元","陕西",19137.4,16516.8,15.9,29
2006,"07","出口","万美元","甘肃",9299.1,8819.1,5.4,29
2006,"07","出口","万美元","青海",421,409.5,2.8,29
2006,"07","出口","万美元","宁夏",1397.4,826.8,69,29
2006,"07","出口","万美元","新疆",20808.6,23855.5,-12.8,29
2006,"07","进口","万美元","北京",297787.9,313606.6,-5,30
2006,"07","进口","万美元","天津",76924.3,53804.8,43,30
2006,"07","进口","万美元","河北",52285.7,34500,51.6,30
2006,"07","进口","万美元","山西",234.3,101.8,130.2,30
2006,"07","进口","万美元","内蒙古",4294.1,4242.8,1.2,30
2006,"07","进口","万美元","辽宁",79197.1,95950.1,-17.5,30
2006,"07","进口","万美元","吉林",9910.3,21184.4,-53.2,30
2006,"07","进口","万美元","黑龙江",12328.8,11475.1,7.4,30
2006,"07","进口","万美元","上海",193198.1,152145,27,30
2006,"07","进口","万美元","江苏",218732.8,171762.3,27.3,30
2006,"07","进口","万美元","浙江",102661.7,85259.4,20.4,30
2006,"07","进口","万美元","安徽",14347.6,9735.3,47.4,30
2006,"07","进口","万美元","福建",70346.3,68863.7,2.2,30
2006,"07","进口","万美元","江西",988.4,973.3,1.6,30
2006,"07","进口","万美元","山东",361838.2,261290,38.5,30
2006,"07","进口","万美元","河南",26596,23275.6,14.3,30
2006,"07","进口","万美元","湖北",7327.2,4926.6,48.7,30
2006,"07","进口","万美元","湖南",16660.3,11213.9,48.6,30
2006,"07","进口","万美元","广东",252201.1,222194,13.5,30
2006,"07","进口","万美元","广西",51363.5,40320.6,27.4,30
2006,"07","进口","万美元","海南",2089.5,1583.9,31.9,30
2006,"07","进口","万美元","重庆",5326.2,8538.4,-37.6,30
2006,"07","进口","万美元","四川",7293.8,3892.9,87.4,30
2006,"07","进口","万美元","贵州",13.6,55.9,-75.7,30
2006,"07","进口","万美元","云南",4436.4,4046.4,9.6,30
2006,"07","进口","万美元","西藏",111.4,218.2,-49,30
2006,"07","进口","万美元","陕西",1926.1,1336.7,44.1,30
2006,"07","进口","万美元","甘肃",119.5,366.9,-67.4,30
2006,"07","进口","万美元","青海",0,0,0,30
2006,"07","进口","万美元","宁夏",301.8,391.3,-22.9,30
2006,"07","进口","万美元","新疆",12879.5,6751.7,90.8,30
