"year","month","type","currency","V0","V1","V2","V3","page"
2015,"08","出口","万美元","北京",57473.3,64018.2,-10.2,30
2015,"08","出口","万美元","天津",66246.9,65507.3,1.1,30
2015,"08","出口","万美元","河北",108160.3,112261.8,-3.7,30
2015,"08","出口","万美元","山西",5924.8,7432.3,-20.3,30
2015,"08","出口","万美元","内蒙古",37508.5,23597.5,59,30
2015,"08","出口","万美元","辽宁",294116.3,337355.7,-12.8,30
2015,"08","出口","万美元","吉林",69896.7,77171.1,-9.4,30
2015,"08","出口","万美元","黑龙江",57162.5,61034.5,-6.3,30
2015,"08","出口","万美元","上海",118940.7,118365.8,0.5,30
2015,"08","出口","万美元","江苏",221817.2,248013.1,-10.6,30
2015,"08","出口","万美元","浙江",326919.8,354052.9,-7.7,30
2015,"08","出口","万美元","安徽",76945,74167.6,3.7,30
2015,"08","出口","万美元","福建",555468,550045.7,1,30
2015,"08","出口","万美元","江西",43077.3,45414.2,-5.1,30
2015,"08","出口","万美元","山东",981434.5,1028065.7,-4.5,30
2015,"08","出口","万美元","河南",116101.3,104256.3,11.4,30
2015,"08","出口","万美元","湖北",115223.3,129646.9,-11.1,30
2015,"08","出口","万美元","湖南",62754.3,67353.4,-6.8,30
2015,"08","出口","万美元","广东",524941,514987.2,1.9,30
2015,"08","出口","万美元","广西",103659.9,121010.5,-14.3,30
2015,"08","出口","万美元","海南",36124.3,42565.9,-15.1,30
2015,"08","出口","万美元","重庆",23909.4,20219.4,18.3,30
2015,"08","出口","万美元","四川",41027,53768.6,-23.7,30
2015,"08","出口","万美元","贵州",22345.5,19459.4,14.8,30
2015,"08","出口","万美元","云南",192457.2,159654.3,20.5,30
2015,"08","出口","万美元","西藏",1126,1962.1,-42.6,30
2015,"08","出口","万美元","陕西",29368,36395.5,-19.3,30
2015,"08","出口","万美元","甘肃",29408.8,24347.7,20.8,30
2015,"08","出口","万美元","青海",1506.7,773.5,94.8,30
2015,"08","出口","万美元","宁夏",7326.5,12087,-39.4,30
2015,"08","出口","万美元","新疆",55867.3,55972,-0.2,30
2015,"08","进口","万美元","北京",1048778.2,926722.5,13.2,31
2015,"08","进口","万美元","天津",353904.1,413949.4,-14.5,31
2015,"08","进口","万美元","河北",166343.4,219554.4,-24.2,31
2015,"08","进口","万美元","山西",7727.6,18277.7,-57.7,31
2015,"08","进口","万美元","内蒙古",39427.9,44621.3,-11.6,31
2015,"08","进口","万美元","辽宁",377183.6,409808.3,-8,31
2015,"08","进口","万美元","吉林",62670.6,36699,70.8,31
2015,"08","进口","万美元","黑龙江",116997.1,171069.7,-31.6,31
2015,"08","进口","万美元","上海",969314.2,739492.5,31.1,31
2015,"08","进口","万美元","江苏",756814.9,709469.8,6.7,31
2015,"08","进口","万美元","浙江",355758.7,340699,4.4,31
2015,"08","进口","万美元","安徽",107842.5,110206.5,-2.1,31
2015,"08","进口","万美元","福建",479127.9,447757.9,7,31
2015,"08","进口","万美元","江西",10803.4,18799,-42.5,31
2015,"08","进口","万美元","山东",1115220.7,2012749.6,-44.6,31
2015,"08","进口","万美元","河南",118421.6,103829.4,14.1,31
2015,"08","进口","万美元","湖北",23202.8,27192,-14.7,31
2015,"08","进口","万美元","湖南",20108.8,30601.5,-34.3,31
2015,"08","进口","万美元","广东",1185735.9,1122559.5,5.6,31
2015,"08","进口","万美元","广西",282690.1,293978.7,-3.8,31
2015,"08","进口","万美元","海南",11557.1,12573.7,-8.1,31
2015,"08","进口","万美元","重庆",67319.2,37877.3,77.7,31
2015,"08","进口","万美元","四川",32224,35985.8,-10.5,31
2015,"08","进口","万美元","贵州",6981.6,543.1,1185.6,31
2015,"08","进口","万美元","云南",49522.3,133104.6,-62.8,31
2015,"08","进口","万美元","西藏",96.7,76.4,26.5,31
2015,"08","进口","万美元","陕西",21286.8,8358.1,154.7,31
2015,"08","进口","万美元","甘肃",6126.3,3572.9,71.5,31
2015,"08","进口","万美元","青海",1168.6,486.1,140.4,31
2015,"08","进口","万美元","宁夏",1113.1,922.2,20.7,31
2015,"08","进口","万美元","新疆",24771.7,30496.8,-18.8,31
