"year","month","type","currency","V0","V1","V2","V3"
2013,"12","出口","万美元","北京",129266.5,134879.4,-4.2
2013,"12","出口","万美元","天津",100887.5,97642.4,3.3
2013,"12","出口","万美元","河北",161330.8,149369.8,8
2013,"12","出口","万美元","山西",11017.1,10906.7,1
2013,"12","出口","万美元","内蒙古",35258.5,40099.4,-12.1
2013,"12","出口","万美元","辽宁",512736.2,477676.7,7.3
2013,"12","出口","万美元","吉林",121808.9,120359.9,1.2
2013,"12","出口","万美元","黑龙江",89772.7,80109.3,12.1
2013,"12","出口","万美元","上海",180121.1,176672.2,2
2013,"12","出口","万美元","江苏",316229.8,306667.3,3.1
2013,"12","出口","万美元","浙江",518581,471699,9.9
2013,"12","出口","万美元","安徽",112388.6,95234.2,18
2013,"12","出口","万美元","福建",822903.7,755995.5,8.9
2013,"12","出口","万美元","江西",47848.2,38234.2,25.1
2013,"12","出口","万美元","山东",1520461,1502231.6,1.2
2013,"12","出口","万美元","河南",138354.4,100978.4,37
2013,"12","出口","万美元","湖北",188933,115187.9,64
2013,"12","出口","万美元","湖南",88405.6,71179.7,24.2
2013,"12","出口","万美元","广东",813105,751092.6,8.3
2013,"12","出口","万美元","广西",157214.3,144600.2,8.7
2013,"12","出口","万美元","海南",59823.9,60156,-0.6
2013,"12","出口","万美元","重庆",36979.7,24427.1,51.4
2013,"12","出口","万美元","四川",68948.9,79590.7,-13.4
2013,"12","出口","万美元","贵州",26851.5,29110.5,-7.8
2013,"12","出口","万美元","云南",243197.6,205253.2,18.5
2013,"12","出口","万美元","西藏",5173.1,4305.4,20.2
2013,"12","出口","万美元","陕西",69869.7,81413.9,-14.2
2013,"12","出口","万美元","甘肃",33807.8,38340.4,-11.8
2013,"12","出口","万美元","青海",3046.3,2942.9,3.5
2013,"12","出口","万美元","宁夏",10757.8,8033.9,33.9
2013,"12","出口","万美元","新疆",84529.3,84263.3,0.3
2013,"12","进口","万美元","北京",1406324.8,1800159.3,-21.9
2013,"12","进口","万美元","天津",589226.6,556986.6,5.8
2013,"12","进口","万美元","河北",321722.8,235946.5,36.4
2013,"12","进口","万美元","山西",12302.2,3063.8,301.5
2013,"12","进口","万美元","内蒙古",44274.3,23886.4,85.4
2013,"12","进口","万美元","辽宁",557061.1,453705.8,22.8
2013,"12","进口","万美元","吉林",107172.7,99968.2,7.2
2013,"12","进口","万美元","黑龙江",217921.2,157751.9,38.1
2013,"12","进口","万美元","上海",1089994.9,998779.1,9.1
2013,"12","进口","万美元","江苏",1052895.3,1092503,-3.6
2013,"12","进口","万美元","浙江",518617.2,537407.6,-3.5
2013,"12","进口","万美元","安徽",174466.3,125537.5,39
2013,"12","进口","万美元","福建",579037.1,479556,20.7
2013,"12","进口","万美元","江西",19335.5,9064.2,113.3
2013,"12","进口","万美元","山东",2576459.4,2165899.6,19
2013,"12","进口","万美元","河南",161492.9,152114.1,6.2
2013,"12","进口","万美元","湖北",38766.6,32909.6,17.8
2013,"12","进口","万美元","湖南",47080.6,37818.5,24.5
2013,"12","进口","万美元","广东",1463395,1381310.4,5.9
2013,"12","进口","万美元","广西",408263.4,431809,-5.5
2013,"12","进口","万美元","海南",17844.9,16683,7
2013,"12","进口","万美元","重庆",105013.9,90796.7,15.7
2013,"12","进口","万美元","四川",42053.3,28227.7,49
2013,"12","进口","万美元","贵州",542.8,436.2,24.4
2013,"12","进口","万美元","云南",160303.4,165784.7,-3.3
2013,"12","进口","万美元","西藏",126.8,171.9,-26.2
2013,"12","进口","万美元","陕西",15081.7,7093.7,112.6
2013,"12","进口","万美元","甘肃",4303.1,3105.7,38.6
2013,"12","进口","万美元","青海",161.1,63,155.7
2013,"12","进口","万美元","宁夏",483.3,97.5,395.5
2013,"12","进口","万美元","新疆",59146.4,60211.6,-1.8
