"year","month","type","currency","V0","V1","V2","V3","page"
2005,"05","出口","万美元","北京",47513.2,42170.5,12.7,27
2005,"05","出口","万美元","天津",19116.2,17889.6,6.9,27
2005,"05","出口","万美元","河北",31052.8,24876.1,24.8,27
2005,"05","出口","万美元","山西",1457.9,2172.1,-32.9,27
2005,"05","出口","万美元","内蒙古",13575.4,7707.9,76.1,27
2005,"05","出口","万美元","辽宁",76548.3,61547.6,24.4,27
2005,"05","出口","万美元","吉林",28469.4,23743.5,19.9,27
2005,"05","出口","万美元","黑龙江",28084.5,18260.6,53.8,27
2005,"05","出口","万美元","上海",36953.1,30484.9,21.2,27
2005,"05","出口","万美元","江苏",35801.1,29115.1,23,27
2005,"05","出口","万美元","浙江",101618,85056,19.5,27
2005,"05","出口","万美元","安徽",11444.7,10006.3,14.4,27
2005,"05","出口","万美元","福建",85039.7,72898.9,16.7,27
2005,"05","出口","万美元","江西",6293.8,7824.1,-19.6,27
2005,"05","出口","万美元","山东",257716.2,200899.1,28.3,27
2005,"05","出口","万美元","河南",15622.1,13550.6,15.3,27
2005,"05","出口","万美元","湖北",10680.2,10076.3,6,27
2005,"05","出口","万美元","湖南",10653.9,8597.8,23.9,27
2005,"05","出口","万美元","广东",125403.3,122605.7,2.3,27
2005,"05","出口","万美元","广西",13060.4,11024.4,18.5,27
2005,"05","出口","万美元","海南",5414.6,4658.6,16.2,27
2005,"05","出口","万美元","重庆",5244,3101.6,69.1,27
2005,"05","出口","万美元","四川",16337.4,15611.8,4.6,27
2005,"05","出口","万美元","贵州",2619,2455.6,6.7,27
2005,"05","出口","万美元","云南",16497.5,13410.9,23,27
2005,"05","出口","万美元","西藏",1113.6,848.5,31.2,27
2005,"05","出口","万美元","陕西",11754.2,9737.7,20.7,27
2005,"05","出口","万美元","甘肃",6788.2,4183.5,62.3,27
2005,"05","出口","万美元","青海",293.8,209.3,40.3,27
2005,"05","出口","万美元","宁夏",595.7,518.3,14.9,27
2005,"05","出口","万美元","新疆",16336.9,9919.4,64.7,27
2005,"05","进口","万美元","北京",212147.3,251628.6,-15.7,28
2005,"05","进口","万美元","天津",34477.9,42494.4,-18.9,28
2005,"05","进口","万美元","河北",22233.9,30538,-27.2,28
2005,"05","进口","万美元","山西",36.4,357.2,-89.8,28
2005,"05","进口","万美元","内蒙古",2144.8,3255.2,-34.1,28
2005,"05","进口","万美元","辽宁",60203.6,58396.8,3.1,28
2005,"05","进口","万美元","吉林",10953.9,2459.7,345.3,28
2005,"05","进口","万美元","黑龙江",6762.6,8047.5,-16,28
2005,"05","进口","万美元","上海",98449,102634.9,-4.1,28
2005,"05","进口","万美元","江苏",116490.3,111396.7,4.6,28
2005,"05","进口","万美元","浙江",55237.3,53015.3,4.2,28
2005,"05","进口","万美元","安徽",5526.2,4916.4,12.4,28
2005,"05","进口","万美元","福建",48877.3,40920.7,19.4,28
2005,"05","进口","万美元","江西",712.5,566.4,25.8,28
2005,"05","进口","万美元","山东",174105.2,193264,-9.9,28
2005,"05","进口","万美元","河南",15530,17443.9,-11,28
2005,"05","进口","万美元","湖北",3334.6,6123.9,-45.5,28
2005,"05","进口","万美元","湖南",5601.3,6812.8,-17.8,28
2005,"05","进口","万美元","广东",148301.2,181704.4,-18.4,28
2005,"05","进口","万美元","广西",23548.4,20020.6,17.6,28
2005,"05","进口","万美元","海南",1185.4,2108.1,-43.8,28
2005,"05","进口","万美元","重庆",4180.1,1718.6,143.2,28
2005,"05","进口","万美元","四川",2551.1,6841.9,-62.7,28
2005,"05","进口","万美元","贵州",12.7,18.1,-29.9,28
2005,"05","进口","万美元","云南",2657.2,1737.4,52.9,28
2005,"05","进口","万美元","西藏",131.7,93.8,40.4,28
2005,"05","进口","万美元","陕西",851.1,2022.6,-57.9,28
2005,"05","进口","万美元","甘肃",244,60,307,28
2005,"05","进口","万美元","青海",NA,3.2,NA,28
2005,"05","进口","万美元","宁夏",235,28,737.9,28
2005,"05","进口","万美元","新疆",5183.6,7241.8,-28.4,28
