"year","month","type","currency","V0","V1","V2","V3","page"
2004,"07","出口","万美元","北京",55392.7,53084.9,4.3,16
2004,"07","出口","万美元","天津",24194.3,25439.6,-4.9,16
2004,"07","出口","万美元","河北",34548.2,29245.3,18.1,16
2004,"07","出口","万美元","山西",2861.8,5975.4,-52.1,16
2004,"07","出口","万美元","内蒙古",10509.3,16923.3,-37.9,16
2004,"07","出口","万美元","辽宁",90841.7,82777.8,9.7,16
2004,"07","出口","万美元","吉林",31075,63347.3,-50.9,16
2004,"07","出口","万美元","黑龙江",26086.7,36299.9,-28.1,16
2004,"07","出口","万美元","上海",45566.4,37765.3,20.7,16
2004,"07","出口","万美元","江苏",46390.3,44284.2,4.8,16
2004,"07","出口","万美元","浙江",120713.1,95624.2,26.2,16
2004,"07","出口","万美元","安徽",14536.8,16787.7,-13.4,16
2004,"07","出口","万美元","福建",99551.3,77434.2,28.6,16
2004,"07","出口","万美元","江西",9493.3,4986.5,90.4,16
2004,"07","出口","万美元","山东",288371.3,253530.9,13.7,16
2004,"07","出口","万美元","河南",19229.3,16938.7,13.5,16
2004,"07","出口","万美元","湖北",14799.6,12358.2,19.8,16
2004,"07","出口","万美元","湖南",12403.2,10814.1,14.7,16
2004,"07","出口","万美元","广东",172566.1,149569.3,15.4,16
2004,"07","出口","万美元","广西",14796.6,15645.2,-5.4,16
2004,"07","出口","万美元","海南",6491,5073.2,27.9,16
2004,"07","出口","万美元","重庆",4839.9,4915.5,-1.5,16
2004,"07","出口","万美元","四川",23737.8,16265.9,45.9,16
2004,"07","出口","万美元","贵州",4096.6,2979.3,37.5,16
2004,"07","出口","万美元","云南",21219.7,16577.5,28,16
2004,"07","出口","万美元","西藏",1258.8,532.2,136.6,16
2004,"07","出口","万美元","陕西",12098.2,9032.2,33.9,16
2004,"07","出口","万美元","甘肃",5402.5,3542.4,52.5,16
2004,"07","出口","万美元","青海",269,383.2,-29.8,16
2004,"07","出口","万美元","宁夏",661.7,655.6,0.9,16
2004,"07","出口","万美元","新疆",13190.7,16335.7,-19.3,16
