"year","month","type","currency","V0","V1","V2","V3"
2011,"10","出口","万美元","北京",102045.8,80583.2,26.6
2011,"10","出口","万美元","天津",85536.2,71579.4,19.5
2011,"10","出口","万美元","河北",120631.7,96613.5,24.9
2011,"10","出口","万美元","山西",7828.3,6430.6,21.7
2011,"10","出口","万美元","内蒙古",24200.4,22541.9,7.4
2011,"10","出口","万美元","辽宁",360516.6,276005,30.6
2011,"10","出口","万美元","吉林",97302.7,81227.8,19.8
2011,"10","出口","万美元","黑龙江",65109.3,54302.1,19.9
2011,"10","出口","万美元","上海",137932.9,118156.6,16.7
2011,"10","出口","万美元","江苏",232063.1,203830.8,13.9
2011,"10","出口","万美元","浙江",359816.7,288035.5,24.9
2011,"10","出口","万美元","安徽",66642.7,51741.6,28.8
2011,"10","出口","万美元","福建",540632.8,383622.4,40.9
2011,"10","出口","万美元","江西",21380.3,20195.5,5.9
2011,"10","出口","万美元","山东",1247163.1,990369.8,25.9
2011,"10","出口","万美元","河南",82176,60785.2,35.2
2011,"10","出口","万美元","湖北",108610.8,82032.7,32.4
2011,"10","出口","万美元","湖南",50040.7,41836.5,19.6
2011,"10","出口","万美元","广东",545573.8,436140.4,25.1
2011,"10","出口","万美元","广西",88422.3,71548.8,23.6
2011,"10","出口","万美元","海南",44848.7,35864.2,25.1
2011,"10","出口","万美元","重庆",17214.5,13413,28.3
2011,"10","出口","万美元","四川",65140.2,54457.9,19.6
2011,"10","出口","万美元","贵州",18044.8,15203.4,18.7
2011,"10","出口","万美元","云南",138263.2,107277.8,28.9
2011,"10","出口","万美元","西藏",3732.5,5164.3,-27.7
2011,"10","出口","万美元","陕西",54118.9,44072.9,22.8
2011,"10","出口","万美元","甘肃",22052.3,19227.7,14.7
2011,"10","出口","万美元","青海",2166.2,1223.9,77
2011,"10","出口","万美元","宁夏",6106.4,4942.6,23.5
2011,"10","出口","万美元","新疆",74800.2,63182.4,18.4
2011,"10","进口","万美元","北京",860015.4,660505.8,30.2
2011,"10","进口","万美元","天津",367691.6,274041.6,34.2
2011,"10","进口","万美元","河北",211949.4,179674.2,18
2011,"10","进口","万美元","山西",714.4,905.1,-21.1
2011,"10","进口","万美元","内蒙古",25088,18978.3,32.2
2011,"10","进口","万美元","辽宁",330776.3,230607.4,43.4
2011,"10","进口","万美元","吉林",55225.1,58181.9,-5.1
2011,"10","进口","万美元","黑龙江",104589.6,104353.1,0.2
2011,"10","进口","万美元","上海",728948.2,603511.3,20.8
2011,"10","进口","万美元","江苏",838927.9,705235.2,19
2011,"10","进口","万美元","浙江",427648,327011.9,30.8
2011,"10","进口","万美元","安徽",67350,44685.7,50.7
2011,"10","进口","万美元","福建",327175.1,255594.8,28
2011,"10","进口","万美元","江西",4820,1459,230.4
2011,"10","进口","万美元","山东",1461195.6,979423.5,49.2
2011,"10","进口","万美元","河南",115068,80488.1,43
2011,"10","进口","万美元","湖北",19536.4,16100,21.3
2011,"10","进口","万美元","湖南",16565.1,14573.1,13.7
2011,"10","进口","万美元","广东",973068.9,771171.2,26.2
2011,"10","进口","万美元","广西",217003.4,142781.4,52
2011,"10","进口","万美元","海南",15686.5,5257.3,198.4
2011,"10","进口","万美元","重庆",34769.8,23180.6,50
2011,"10","进口","万美元","四川",24801.9,23378.9,6.1
2011,"10","进口","万美元","贵州",39.2,48.8,-19.7
2011,"10","进口","万美元","云南",98519.9,83895.8,17.4
2011,"10","进口","万美元","西藏",29.6,29.8,-0.7
2011,"10","进口","万美元","陕西",7878.9,6031.7,30.6
2011,"10","进口","万美元","甘肃",988.7,820.4,20.5
2011,"10","进口","万美元","青海",55.9,17.1,227.1
2011,"10","进口","万美元","宁夏",9.5,58.4,-83.7
2011,"10","进口","万美元","新疆",40537.2,28181.7,43.8
