"year","month","type","currency","V0","V1","V2","V3","page"
2015,"10","出口","万美元",NA,74753.1,82132.3,-9,30
2015,"10","出口","万美元",NA,83530.4,84382.8,-1,30
2015,"10","出口","万美元",NA,134523.3,142947.9,-5.9,30
2015,"10","出口","万美元",NA,7520.4,9107.9,-17.4,30
2015,"10","出口","万美元",NA,47506.5,30643.5,55,30
2015,"10","出口","万美元",NA,384434.1,423419.8,-9.2,30
2015,"10","出口","万美元",NA,91405,94613.8,-3.4,30
2015,"10","出口","万美元",NA,70323.1,76099.6,-7.6,30
2015,"10","出口","万美元",NA,153032,157377.2,-2.8,30
2015,"10","出口","万美元",NA,276533.7,302717.1,-8.6,30
2015,"10","出口","万美元",NA,410184.5,436564.9,-6,30
2015,"10","出口","万美元",NA,97784,95447.9,2.4,30
2015,"10","出口","万美元",NA,699092.9,703977,-0.7,30
2015,"10","出口","万美元",NA,50081.3,52626,-4.8,30
2015,"10","出口","万美元",NA,1232894.3,1282884.9,-3.9,30
2015,"10","出口","万美元",NA,137887.1,124901.7,10.4,30
2015,"10","出口","万美元",NA,144059.5,160295.6,-10.1,30
2015,"10","出口","万美元",NA,81198,84830,-4.3,30
2015,"10","出口","万美元",NA,673175.7,669686.6,0.5,30
2015,"10","出口","万美元",NA,139868.1,161271.7,-13.3,30
2015,"10","出口","万美元",NA,43127.9,52890,-18.5,30
2015,"10","出口","万美元",NA,28199.8,25925.2,8.8,30
2015,"10","出口","万美元",NA,52061.2,64337.5,-19.1,30
2015,"10","出口","万美元",NA,28912.4,25756.6,12.3,30
2015,"10","出口","万美元",NA,300236.8,228391.6,31.5,30
2015,"10","出口","万美元",NA,1152.3,2500.5,-53.9,30
2015,"10","出口","万美元",NA,38084,44888.7,-15.2,30
2015,"10","出口","万美元",NA,34827.1,29619.7,17.6,30
2015,"10","出口","万美元",NA,1582.8,1255.1,26.1,30
2015,"10","出口","万美元",NA,8961.3,15991.7,-44,30
2015,"10","出口","万美元",NA,66822.1,68237.5,-2.1,30
2015,"10","进口","万美元",NA,1267488.6,1100300,15.2,31
2015,"10","进口","万美元",NA,418620.2,492272,-15,31
2015,"10","进口","万美元",NA,201584.6,255071.6,-21,31
2015,"10","进口","万美元",NA,10530.4,22792.7,-53.8,31
2015,"10","进口","万美元",NA,43578.3,47431.4,-8.1,31
2015,"10","进口","万美元",NA,461327.8,493174.4,-6.5,31
2015,"10","进口","万美元",NA,70380.3,55704.5,26.3,31
2015,"10","进口","万美元",NA,140112.7,208783.3,-32.9,31
2015,"10","进口","万美元",NA,1210066.2,939495.5,28.8,31
2015,"10","进口","万美元",NA,945187.1,848324.7,11.4,31
2015,"10","进口","万美元",NA,440498.5,403177,9.3,31
2015,"10","进口","万美元",NA,131608.4,131945.6,-0.3,31
2015,"10","进口","万美元",NA,599182.9,540145.5,10.9,31
2015,"10","进口","万美元",NA,13653.8,20848.7,-34.5,31
2015,"10","进口","万美元",NA,1355539.1,2384120.6,-43.1,31
2015,"10","进口","万美元",NA,142688.9,123632,15.4,31
2015,"10","进口","万美元",NA,28856.8,31103.6,-7.2,31
2015,"10","进口","万美元",NA,26005.3,33908.9,-23.3,31
2015,"10","进口","万美元",NA,1475379,1356598.5,8.8,31
2015,"10","进口","万美元",NA,340423.4,359867,-5.4,31
2015,"10","进口","万美元",NA,14530.6,16543.9,-12.2,31
2015,"10","进口","万美元",NA,80231.3,40562.7,97.8,31
2015,"10","进口","万美元",NA,38578.5,39530.4,-2.4,31
2015,"10","进口","万美元",NA,7192.6,748.4,861,31
2015,"10","进口","万美元",NA,65572.6,139247,-52.9,31
2015,"10","进口","万美元",NA,140.4,76.4,83.6,31
2015,"10","进口","万美元",NA,24308.8,9169.7,165.1,31
2015,"10","进口","万美元",NA,6890.9,4948.1,39.3,31
2015,"10","进口","万美元",NA,1191.7,538.8,121.2,31
2015,"10","进口","万美元",NA,1342.6,1434.6,-6.4,31
2015,"10","进口","万美元",NA,30238.6,35498.2,-14.8,31
