"year","month","currency","cat","country","period","value","files"
2000,"03","千美元","总值","缅甸","A",37176,"2000-03-c87-t01.html"
2000,"03","千美元","第1类","缅甸","A",494,"2000-03-c87-t01.html"
2000,"03","千美元","01章","缅甸","A",6,"2000-03-c87-t01.html"
2000,"03","千美元","02章","缅甸","A",NA,"2000-03-c87-t01.html"
2000,"03","千美元","03章","缅甸","A",NA,"2000-03-c87-t01.html"
2000,"03","千美元","04章","缅甸","A",488,"2000-03-c87-t01.html"
2000,"03","千美元","05章","缅甸","A",NA,"2000-03-c87-t01.html"
2000,"03","千美元","第2类","缅甸","A",388,"2000-03-c87-t01.html"
2000,"03","千美元","06章","缅甸","A",NA,"2000-03-c87-t01.html"
2000,"03","千美元","07章","缅甸","A",193,"2000-03-c87-t01.html"
2000,"03","千美元","08章","缅甸","A",58,"2000-03-c87-t01.html"
2000,"03","千美元","09章","缅甸","A",13,"2000-03-c87-t01.html"
2000,"03","千美元","10章","缅甸","A",NA,"2000-03-c87-t01.html"
2000,"03","千美元","11章","缅甸","A",122,"2000-03-c87-t01.html"
2000,"03","千美元","12章","缅甸","A",2,"2000-03-c87-t01.html"
2000,"03","千美元","13章","缅甸","A",NA,"2000-03-c87-t01.html"
2000,"03","千美元","14章","缅甸","A",NA,"2000-03-c87-t01.html"
2000,"03","千美元","第3类","缅甸","A",10,"2000-03-c87-t01.html"
2000,"03","千美元","15章","缅甸","A",10,"2000-03-c87-t01.html"
2000,"03","千美元","第4类","缅甸","A",405,"2000-03-c87-t01.html"
2000,"03","千美元","16章","缅甸","A",NA,"2000-03-c87-t01.html"
2000,"03","千美元","17章","缅甸","A",NA,"2000-03-c87-t01.html"
2000,"03","千美元","18章","缅甸","A",NA,"2000-03-c87-t01.html"
2000,"03","千美元","19章","缅甸","A",82,"2000-03-c87-t01.html"
2000,"03","千美元","20章","缅甸","A",NA,"2000-03-c87-t01.html"
2000,"03","千美元","21章","缅甸","A",49,"2000-03-c87-t01.html"
2000,"03","千美元","22章","缅甸","A",184,"2000-03-c87-t01.html"
2000,"03","千美元","23章","缅甸","A",3,"2000-03-c87-t01.html"
2000,"03","千美元","24章","缅甸","A",86,"2000-03-c87-t01.html"
2000,"03","千美元","31章","缅甸","A",458,"2000-03-c87-t01.html"
2000,"03","千美元","50章","缅甸","A",50,"2000-03-c87-t01.html"
2000,"03","千美元","51章","缅甸","A",50,"2000-03-c87-t01.html"
2000,"03","千美元","52章","缅甸","A",2479,"2000-03-c87-t01.html"
2000,"03","千美元","总值","缅甸","B",81772,"2000-03-c87-t01.html"
2000,"03","千美元","第1类","缅甸","B",584,"2000-03-c87-t01.html"
2000,"03","千美元","01章","缅甸","B",6,"2000-03-c87-t01.html"
2000,"03","千美元","02章","缅甸","B",NA,"2000-03-c87-t01.html"
2000,"03","千美元","03章","缅甸","B",NA,"2000-03-c87-t01.html"
2000,"03","千美元","04章","缅甸","B",577,"2000-03-c87-t01.html"
2000,"03","千美元","05章","缅甸","B",1,"2000-03-c87-t01.html"
2000,"03","千美元","第2类","缅甸","B",1795,"2000-03-c87-t01.html"
2000,"03","千美元","06章","缅甸","B",2,"2000-03-c87-t01.html"
2000,"03","千美元","07章","缅甸","B",212,"2000-03-c87-t01.html"
2000,"03","千美元","08章","缅甸","B",75,"2000-03-c87-t01.html"
2000,"03","千美元","09章","缅甸","B",19,"2000-03-c87-t01.html"
2000,"03","千美元","10章","缅甸","B",1034,"2000-03-c87-t01.html"
2000,"03","千美元","11章","缅甸","B",450,"2000-03-c87-t01.html"
2000,"03","千美元","12章","缅甸","B",3,"2000-03-c87-t01.html"
2000,"03","千美元","13章","缅甸","B",NA,"2000-03-c87-t01.html"
2000,"03","千美元","14章","缅甸","B",NA,"2000-03-c87-t01.html"
2000,"03","千美元","第3类","缅甸","B",10,"2000-03-c87-t01.html"
2000,"03","千美元","15章","缅甸","B",10,"2000-03-c87-t01.html"
2000,"03","千美元","第4类","缅甸","B",749,"2000-03-c87-t01.html"
2000,"03","千美元","16章","缅甸","B",NA,"2000-03-c87-t01.html"
2000,"03","千美元","17章","缅甸","B",66,"2000-03-c87-t01.html"
2000,"03","千美元","18章","缅甸","B",NA,"2000-03-c87-t01.html"
2000,"03","千美元","19章","缅甸","B",139,"2000-03-c87-t01.html"
2000,"03","千美元","20章","缅甸","B",8,"2000-03-c87-t01.html"
