"year","month","currency","cat","country","period","value","files"
2016,"09","万元人民币","总值","缅甸","A",407357,"2016-09-c80-t01.html"
2016,"09","万元人民币","第1类","缅甸","A",807,"2016-09-c80-t01.html"
2016,"09","万元人民币","01章","缅甸","A",NA,"2016-09-c80-t01.html"
2016,"09","万元人民币","02章","缅甸","A",NA,"2016-09-c80-t01.html"
2016,"09","万元人民币","03章","缅甸","A",NA,"2016-09-c80-t01.html"
2016,"09","万元人民币","04章","缅甸","A",165,"2016-09-c80-t01.html"
2016,"09","万元人民币","05章","缅甸","A",642,"2016-09-c80-t01.html"
2016,"09","万元人民币","第2类","缅甸","A",11340,"2016-09-c80-t01.html"
2016,"09","万元人民币","06章","缅甸","A",633,"2016-09-c80-t01.html"
2016,"09","万元人民币","07章","缅甸","A",126,"2016-09-c80-t01.html"
2016,"09","万元人民币","08章","缅甸","A",7533,"2016-09-c80-t01.html"
2016,"09","万元人民币","09章","缅甸","A",1901,"2016-09-c80-t01.html"
2016,"09","万元人民币","10章","缅甸","A",NA,"2016-09-c80-t01.html"
2016,"09","万元人民币","11章","缅甸","A",496,"2016-09-c80-t01.html"
2016,"09","万元人民币","12章","缅甸","A",637,"2016-09-c80-t01.html"
2016,"09","万元人民币","13章","缅甸","A",12,"2016-09-c80-t01.html"
2016,"09","万元人民币","14章","缅甸","A",NA,"2016-09-c80-t01.html"
2016,"09","万元人民币","第3类","缅甸","A",36,"2016-09-c80-t01.html"
2016,"09","万元人民币","15章","缅甸","A",36,"2016-09-c80-t01.html"
2016,"09","万元人民币","第4类","缅甸","A",5716,"2016-09-c80-t01.html"
2016,"09","万元人民币","16章","缅甸","A",96,"2016-09-c80-t01.html"
2016,"09","万元人民币","17章","缅甸","A",269,"2016-09-c80-t01.html"
2016,"09","万元人民币","18章","缅甸","A",NA,"2016-09-c80-t01.html"
2016,"09","万元人民币","19章","缅甸","A",659,"2016-09-c80-t01.html"
2016,"09","万元人民币","20章","缅甸","A",24,"2016-09-c80-t01.html"
2016,"09","万元人民币","21章","缅甸","A",2973,"2016-09-c80-t01.html"
2016,"09","万元人民币","22章","缅甸","A",1044,"2016-09-c80-t01.html"
2016,"09","万元人民币","23章","缅甸","A",95,"2016-09-c80-t01.html"
2016,"09","万元人民币","24章","缅甸","A",557,"2016-09-c80-t01.html"
2016,"09","万元人民币","31章","缅甸","A",9603,"2016-09-c80-t01.html"
2016,"09","万元人民币","总值","缅甸","B",3971540,"2016-09-c80-t01.html"
2016,"09","万元人民币","第1类","缅甸","B",11575,"2016-09-c80-t01.html"
2016,"09","万元人民币","01章","缅甸","B",0,"2016-09-c80-t01.html"
2016,"09","万元人民币","02章","缅甸","B",NA,"2016-09-c80-t01.html"
2016,"09","万元人民币","03章","缅甸","B",1,"2016-09-c80-t01.html"
2016,"09","万元人民币","04章","缅甸","B",1244,"2016-09-c80-t01.html"
2016,"09","万元人民币","05章","缅甸","B",10330,"2016-09-c80-t01.html"
2016,"09","万元人民币","第2类","缅甸","B",92319,"2016-09-c80-t01.html"
2016,"09","万元人民币","06章","缅甸","B",5962,"2016-09-c80-t01.html"
2016,"09","万元人民币","07章","缅甸","B",1280,"2016-09-c80-t01.html"
2016,"09","万元人民币","08章","缅甸","B",52666,"2016-09-c80-t01.html"
2016,"09","万元人民币","09章","缅甸","B",19176,"2016-09-c80-t01.html"
2016,"09","万元人民币","10章","缅甸","B",404,"2016-09-c80-t01.html"
2016,"09","万元人民币","11章","缅甸","B",6378,"2016-09-c80-t01.html"
