"year","month","currency","cat","country","period","value","files"
2014,"12","万人民币","总值","缅甸","A",525033,"2014-12-c18-t01.html"
2014,"12","万人民币","第1类","缅甸","A",451,"2014-12-c18-t01.html"
2014,"12","万人民币","01章","缅甸","A",NA,"2014-12-c18-t01.html"
2014,"12","万人民币","02章","缅甸","A",NA,"2014-12-c18-t01.html"
2014,"12","万人民币","03章","缅甸","A",NA,"2014-12-c18-t01.html"
2014,"12","万人民币","04章","缅甸","A",323,"2014-12-c18-t01.html"
2014,"12","万人民币","05章","缅甸","A",128,"2014-12-c18-t01.html"
2014,"12","万人民币","第2类","缅甸","A",15151,"2014-12-c18-t01.html"
2014,"12","万人民币","06章","缅甸","A",77,"2014-12-c18-t01.html"
2014,"12","万人民币","07章","缅甸","A",150,"2014-12-c18-t01.html"
2014,"12","万人民币","08章","缅甸","A",11594,"2014-12-c18-t01.html"
2014,"12","万人民币","09章","缅甸","A",1317,"2014-12-c18-t01.html"
2014,"12","万人民币","10章","缅甸","A",NA,"2014-12-c18-t01.html"
2014,"12","万人民币","11章","缅甸","A",1418,"2014-12-c18-t01.html"
2014,"12","万人民币","12章","缅甸","A",593,"2014-12-c18-t01.html"
2014,"12","万人民币","13章","缅甸","A",3,"2014-12-c18-t01.html"
2014,"12","万人民币","14章","缅甸","A",NA,"2014-12-c18-t01.html"
2014,"12","万人民币","第3类","缅甸","A",NA,"2014-12-c18-t01.html"
2014,"12","万人民币","15章","缅甸","A",NA,"2014-12-c18-t01.html"
2014,"12","万人民币","第4类","缅甸","A",9523,"2014-12-c18-t01.html"
2014,"12","万人民币","16章","缅甸","A",NA,"2014-12-c18-t01.html"
2014,"12","万人民币","17章","缅甸","A",558,"2014-12-c18-t01.html"
2014,"12","万人民币","18章","缅甸","A",17,"2014-12-c18-t01.html"
2014,"12","万人民币","19章","缅甸","A",635,"2014-12-c18-t01.html"
2014,"12","万人民币","20章","缅甸","A",NA,"2014-12-c18-t01.html"
2014,"12","万人民币","21章","缅甸","A",2029,"2014-12-c18-t01.html"
2014,"12","万人民币","22章","缅甸","A",2373,"2014-12-c18-t01.html"
2014,"12","万人民币","23章","缅甸","A",67,"2014-12-c18-t01.html"
2014,"12","万人民币","24章","缅甸","A",3843,"2014-12-c18-t01.html"
2014,"12","万人民币","31章","缅甸","A",9158,"2014-12-c18-t01.html"
2014,"12","万人民币","总值","缅甸","B",5753725,"2014-12-c18-t01.html"
2014,"12","万人民币","第1类","缅甸","B",6862,"2014-12-c18-t01.html"
2014,"12","万人民币","01章","缅甸","B",0,"2014-12-c18-t01.html"
2014,"12","万人民币","02章","缅甸","B",NA,"2014-12-c18-t01.html"
2014,"12","万人民币","03章","缅甸","B",396,"2014-12-c18-t01.html"
2014,"12","万人民币","04章","缅甸","B",2299,"2014-12-c18-t01.html"
2014,"12","万人民币","05章","缅甸","B",4167,"2014-12-c18-t01.html"
2014,"12","万人民币","第2类","缅甸","B",167262,"2014-12-c18-t01.html"
2014,"12","万人民币","06章","缅甸","B",81103,"2014-12-c18-t01.html"
2014,"12","万人民币","07章","缅甸","B",6942,"2014-12-c18-t01.html"
2014,"12","万人民币","08章","缅甸","B",53065,"2014-12-c18-t01.html"
2014,"12","万人民币","09章","缅甸","B",8888,"2014-12-c18-t01.html"
2014,"12","万人民币","10章","缅甸","B",74,"2014-12-c18-t01.html"
2014,"12","万人民币","11章","缅甸","B",9261,"2014-12-c18-t01.html"
2014,"12","万人民币","12章","缅甸","B",7597,"2014-12-c18-t01.html"
2014,"12","万人民币","13章","缅甸","B",332,"2014-12-c18-t01.html"
2014,"12","万人民币","14章","缅甸","B",NA,"2014-12-c18-t01.html"
2014,"12","万人民币","第3类","缅甸","B",38,"2014-12-c18-t01.html"
2014,"12","万人民币","15章","缅甸","B",38,"2014-12-c18-t01.html"
2014,"12","万人民币","第4类","缅甸","B",77498,"2014-12-c18-t01.html"
2014,"12","万人民币","16章","缅甸","B",NA,"2014-12-c18-t01.html"
2014,"12","万人民币","17章","缅甸","B",3790,"2014-12-c18-t01.html"
2014,"12","万人民币","18章","缅甸","B",55,"2014-12-c18-t01.html"
2014,"12","万人民币","19章","缅甸","B",7377,"2014-12-c18-t01.html"
2014,"12","万人民币","20章","缅甸","B",5418,"2014-12-c18-t01.html"
2014,"12","万人民币","21章","缅甸","B",24526,"2014-12-c18-t01.html"
2014,"12","万人民币","22章","缅甸","B",22813,"2014-12-c18-t01.html"
2014,"12","万人民币","23章","缅甸","B",1572,"2014-12-c18-t01.html"
2014,"12","万人民币","24章","缅甸","B",11947,"2014-12-c18-t01.html"
2014,"12","万人民币","31章","缅甸","B",40577,"2014-12-c18-t01.html"
2014,"12","万人民币","总值","香港","A",25506275,"2014-12-c18-t01.html"
2014,"12","万人民币","第1类","香港","A",230904,"2014-12-c18-t01.html"
2014,"12","万人民币","01章","香港","A",48357,"2014-12-c18-t01.html"
2014,"12","万人民币","02章","香港","A",54655,"2014-12-c18-t01.html"
2014,"12","万人民币","03章","香港","A",118368,"2014-12-c18-t01.html"
2014,"12","万人民币","04章","香港","A",8575,"2014-12-c18-t01.html"
2014,"12","万人民币","05章","香港","A",949,"2014-12-c18-t01.html"
2014,"12","万人民币","第2类","香港","A",157993,"2014-12-c18-t01.html"
2014,"12","万人民币","06章","香港","A",923,"2014-12-c18-t01.html"
2014,"12","万人民币","07章","香港","A",76122,"2014-12-c18-t01.html"
2014,"12","万人民币","08章","香港","A",28177,"2014-12-c18-t01.html"
2014,"12","万人民币","09章","香港","A",5716,"2014-12-c18-t01.html"
2014,"12","万人民币","10章","香港","A",1112,"2014-12-c18-t01.html"
2014,"12","万人民币","11章","香港","A",5160,"2014-12-c18-t01.html"
2014,"12","万人民币","12章","香港","A",38265,"2014-12-c18-t01.html"
2014,"12","万人民币","13章","香港","A",1837,"2014-12-c18-t01.html"
2014,"12","万人民币","14章","香港","A",680,"2014-12-c18-t01.html"
2014,"12","万人民币","第3类","香港","A",4664,"2014-12-c18-t01.html"
2014,"12","万人民币","15章","香港","A",4664,"2014-12-c18-t01.html"
2014,"12","万人民币","第4类","香港","A",226027,"2014-12-c18-t01.html"
2014,"12","万人民币","16章","香港","A",74942,"2014-12-c18-t01.html"
2014,"12","万人民币","17章","香港","A",3711,"2014-12-c18-t01.html"
2014,"12","万人民币","18章","香港","A",8165,"2014-12-c18-t01.html"
2014,"12","万人民币","19章","香港","A",19435,"2014-12-c18-t01.html"
2014,"12","万人民币","20章","香港","A",12261,"2014-12-c18-t01.html"
2014,"12","万人民币","21章","香港","A",23408,"2014-12-c18-t01.html"
2014,"12","万人民币","22章","香港","A",58401,"2014-12-c18-t01.html"
2014,"12","万人民币","23章","香港","A",685,"2014-12-c18-t01.html"
2014,"12","万人民币","24章","香港","A",25020,"2014-12-c18-t01.html"
2014,"12","万人民币","31章","香港","A",56,"2014-12-c18-t01.html"
2014,"12","万人民币","总值","香港","B",223073243,"2014-12-c18-t01.html"
2014,"12","万人民币","第1类","香港","B",1997026,"2014-12-c18-t01.html"
2014,"12","万人民币","01章","香港","B",300131,"2014-12-c18-t01.html"
2014,"12","万人民币","02章","香港","B",464276,"2014-12-c18-t01.html"
2014,"12","万人民币","03章","香港","B",1102130,"2014-12-c18-t01.html"
2014,"12","万人民币","04章","香港","B",110619,"2014-12-c18-t01.html"
2014,"12","万人民币","05章","香港","B",19869,"2014-12-c18-t01.html"
2014,"12","万人民币","第2类","香港","B",1224464,"2014-12-c18-t01.html"
2014,"12","万人民币","06章","香港","B",6888,"2014-12-c18-t01.html"
2014,"12","万人民币","07章","香港","B",521231,"2014-12-c18-t01.html"
2014,"12","万人民币","08章","香港","B",176767,"2014-12-c18-t01.html"
2014,"12","万人民币","09章","香港","B",87438,"2014-12-c18-t01.html"
2014,"12","万人民币","10章","香港","B",13122,"2014-12-c18-t01.html"
2014,"12","万人民币","11章","香港","B",50020,"2014-12-c18-t01.html"
2014,"12","万人民币","12章","香港","B",335962,"2014-12-c18-t01.html"
2014,"12","万人民币","13章","香港","B",25067,"2014-12-c18-t01.html"
