"year","month","currency","cat","country","period","value","files"
2012,"07","千美元","总值","缅甸","A",422002,"2012-07-c40-t01.html"
2012,"07","千美元","第1类","缅甸","A",4008,"2012-07-c40-t01.html"
2012,"07","千美元","01章","缅甸","A",NA,"2012-07-c40-t01.html"
2012,"07","千美元","02章","缅甸","A",NA,"2012-07-c40-t01.html"
2012,"07","千美元","03章","缅甸","A",NA,"2012-07-c40-t01.html"
2012,"07","千美元","04章","缅甸","A",461,"2012-07-c40-t01.html"
2012,"07","千美元","05章","缅甸","A",3547,"2012-07-c40-t01.html"
2012,"07","千美元","第2类","缅甸","A",1394,"2012-07-c40-t01.html"
2012,"07","千美元","06章","缅甸","A",NA,"2012-07-c40-t01.html"
2012,"07","千美元","07章","缅甸","A",NA,"2012-07-c40-t01.html"
2012,"07","千美元","08章","缅甸","A",NA,"2012-07-c40-t01.html"
2012,"07","千美元","09章","缅甸","A",945,"2012-07-c40-t01.html"
2012,"07","千美元","10章","缅甸","A",NA,"2012-07-c40-t01.html"
2012,"07","千美元","11章","缅甸","A",385,"2012-07-c40-t01.html"
2012,"07","千美元","12章","缅甸","A",NA,"2012-07-c40-t01.html"
2012,"07","千美元","13章","缅甸","A",64,"2012-07-c40-t01.html"
2012,"07","千美元","14章","缅甸","A",NA,"2012-07-c40-t01.html"
2012,"07","千美元","第3类","缅甸","A",NA,"2012-07-c40-t01.html"
2012,"07","千美元","15章","缅甸","A",NA,"2012-07-c40-t01.html"
2012,"07","千美元","第4类","缅甸","A",7597,"2012-07-c40-t01.html"
2012,"07","千美元","16章","缅甸","A",NA,"2012-07-c40-t01.html"
2012,"07","千美元","17章","缅甸","A",194,"2012-07-c40-t01.html"
2012,"07","千美元","18章","缅甸","A",NA,"2012-07-c40-t01.html"
2012,"07","千美元","19章","缅甸","A",104,"2012-07-c40-t01.html"
2012,"07","千美元","20章","缅甸","A",NA,"2012-07-c40-t01.html"
2012,"07","千美元","21章","缅甸","A",1734,"2012-07-c40-t01.html"
2012,"07","千美元","22章","缅甸","A",4333,"2012-07-c40-t01.html"
2012,"07","千美元","23章","缅甸","A",26,"2012-07-c40-t01.html"
2012,"07","千美元","24章","缅甸","A",1206,"2012-07-c40-t01.html"
2012,"07","千美元","31章","缅甸","A",2325,"2012-07-c40-t01.html"
2012,"07","千美元","50章","缅甸","A",290,"2012-07-c40-t01.html"
2012,"07","千美元","51章","缅甸","A",1272,"2012-07-c40-t01.html"
2012,"07","千美元","52章","缅甸","A",8604,"2012-07-c40-t01.html"
2012,"07","千美元","总值","缅甸","B",3204368,"2012-07-c40-t01.html"
2012,"07","千美元","第1类","缅甸","B",23915,"2012-07-c40-t01.html"
2012,"07","千美元","01章","缅甸","B",NA,"2012-07-c40-t01.html"
2012,"07","千美元","02章","缅甸","B",NA,"2012-07-c40-t01.html"
2012,"07","千美元","03章","缅甸","B",NA,"2012-07-c40-t01.html"
2012,"07","千美元","04章","缅甸","B",3508,"2012-07-c40-t01.html"
2012,"07","千美元","05章","缅甸","B",20407,"2012-07-c40-t01.html"
2012,"07","千美元","第2类","缅甸","B",11831,"2012-07-c40-t01.html"
2012,"07","千美元","06章","缅甸","B",NA,"2012-07-c40-t01.html"
2012,"07","千美元","07章","缅甸","B",364,"2012-07-c40-t01.html"
2012,"07","千美元","08章","缅甸","B",154,"2012-07-c40-t01.html"
2012,"07","千美元","09章","缅甸","B",4998,"2012-07-c40-t01.html"
2012,"07","千美元","10章","缅甸","B",2,"2012-07-c40-t01.html"
2012,"07","千美元","11章","缅甸","B",5518,"2012-07-c40-t01.html"
2012,"07","千美元","12章","缅甸","B",394,"2012-07-c40-t01.html"
2012,"07","千美元","13章","缅甸","B",401,"2012-07-c40-t01.html"
2012,"07","千美元","14章","缅甸","B",NA,"2012-07-c40-t01.html"
2012,"07","千美元","第3类","缅甸","B",NA,"2012-07-c40-t01.html"
2012,"07","千美元","15章","缅甸","B",NA,"2012-07-c40-t01.html"
2012,"07","千美元","第4类","缅甸","B",46975,"2012-07-c40-t01.html"
2012,"07","千美元","16章","缅甸","B",NA,"2012-07-c40-t01.html"
2012,"07","千美元","17章","缅甸","B",1398,"2012-07-c40-t01.html"
2012,"07","千美元","18章","缅甸","B",NA,"2012-07-c40-t01.html"
2012,"07","千美元","19章","缅甸","B",1346,"2012-07-c40-t01.html"
2012,"07","千美元","20章","缅甸","B",37,"2012-07-c40-t01.html"
2012,"07","千美元","21章","缅甸","B",15416,"2012-07-c40-t01.html"
2012,"07","千美元","22章","缅甸","B",23567,"2012-07-c40-t01.html"
2012,"07","千美元","23章","缅甸","B",1122,"2012-07-c40-t01.html"
2012,"07","千美元","24章","缅甸","B",4089,"2012-07-c40-t01.html"
2012,"07","千美元","31章","缅甸","B",31985,"2012-07-c40-t01.html"
2012,"07","千美元","50章","缅甸","B",2488,"2012-07-c40-t01.html"
2012,"07","千美元","51章","缅甸","B",9217,"2012-07-c40-t01.html"
2012,"07","千美元","52章","缅甸","B",62547,"2012-07-c40-t01.html"
2012,"07","千美元","总值","香港","A",27247430,"2012-07-c40-t01.html"
2012,"07","千美元","第1类","香港","A",166034,"2012-07-c40-t01.html"
2012,"07","千美元","01章","香港","A",41310,"2012-07-c40-t01.html"
2012,"07","千美元","02章","香港","A",46583,"2012-07-c40-t01.html"
2012,"07","千美元","03章","香港","A",62175,"2012-07-c40-t01.html"
2012,"07","千美元","04章","香港","A",15074,"2012-07-c40-t01.html"
2012,"07","千美元","05章","香港","A",892,"2012-07-c40-t01.html"
2012,"07","千美元","第2类","香港","A",66994,"2012-07-c40-t01.html"
2012,"07","千美元","06章","香港","A",506,"2012-07-c40-t01.html"
2012,"07","千美元","07章","香港","A",21619,"2012-07-c40-t01.html"
2012,"07","千美元","08章","香港","A",9279,"2012-07-c40-t01.html"
2012,"07","千美元","09章","香港","A",4988,"2012-07-c40-t01.html"
2012,"07","千美元","10章","香港","A",1769,"2012-07-c40-t01.html"
2012,"07","千美元","11章","香港","A",6923,"2012-07-c40-t01.html"
2012,"07","千美元","12章","香港","A",17543,"2012-07-c40-t01.html"
2012,"07","千美元","13章","香港","A",3948,"2012-07-c40-t01.html"
2012,"07","千美元","14章","香港","A",418,"2012-07-c40-t01.html"
2012,"07","千美元","第3类","香港","A",4936,"2012-07-c40-t01.html"
2012,"07","千美元","15章","香港","A",4936,"2012-07-c40-t01.html"
2012,"07","千美元","第4类","香港","A",215608,"2012-07-c40-t01.html"
2012,"07","千美元","16章","香港","A",66167,"2012-07-c40-t01.html"
2012,"07","千美元","17章","香港","A",3650,"2012-07-c40-t01.html"
2012,"07","千美元","18章","香港","A",2640,"2012-07-c40-t01.html"
2012,"07","千美元","19章","香港","A",24226,"2012-07-c40-t01.html"
2012,"07","千美元","20章","香港","A",11415,"2012-07-c40-t01.html"
2012,"07","千美元","21章","香港","A",22462,"2012-07-c40-t01.html"
2012,"07","千美元","22章","香港","A",68133,"2012-07-c40-t01.html"
2012,"07","千美元","23章","香港","A",671,"2012-07-c40-t01.html"
2012,"07","千美元","24章","香港","A",16245,"2012-07-c40-t01.html"
2012,"07","千美元","31章","香港","A",275,"2012-07-c40-t01.html"
2012,"07","千美元","50章","香港","A",11776,"2012-07-c40-t01.html"
2012,"07","千美元","51章","香港","A",44106,"2012-07-c40-t01.html"
2012,"07","千美元","52章","香港","A",183490,"2012-07-c40-t01.html"
2012,"07","千美元","总值","香港","B",166577267,"2012-07-c40-t01.html"
2012,"07","千美元","第1类","香港","B",1225166,"2012-07-c40-t01.html"
2012,"07","千美元","01章","香港","B",262792,"2012-07-c40-t01.html"
