"year","month","type","quantity","currency","cat","V0","V1","V2","V3","V4","V5","V6","V7","page"
2005,"01","出口","吨","万美元","大米",0,"合计",73325.3,2641.5,211345.7,4747,-65.3,-44.4,4
2005,"01","出口","吨","万美元","大米",1,"韩国",37400,1313.8,31528,1064.6,18.6,23.4,4
2005,"01","出口","吨","万美元","大米",2,"日本",9058.2,501.7,10914,730.1,-17,-31.3,4
2005,"01","出口","吨","万美元","大米",3,"俄罗斯联邦",10036,327.2,4707.3,114.7,113.2,185.3,4
2005,"01","出口","吨","万美元","小麦",0,"合计",6123.3,82.4,71285.7,924.5,-91.4,-91.1,6
2005,"01","出口","吨","万美元","小麦",1,"越南",6123,82.4,0,0,NA,NA,6
2005,"01","出口","吨","万美元","小麦",2,"韩国",0.2,0,11550,144.4,-100,-100,6
2005,"01","出口","吨","万美元","小麦",3,"法国",0,0,0,0,NA,NA,6
2005,"01","出口","吨","万美元","玉米",0,"合计",485418.6,6269.5,574730.9,6489,-15.5,-3.4,6
2005,"01","出口","吨","万美元","玉米",1,"韩国",356518.8,4574.7,477338.8,5377.5,-25.3,-14.9,6
2005,"01","出口","吨","万美元","玉米",2,"马来西亚",80185.8,1026.4,30128.2,339.5,166.1,202.3,6
2005,"01","出口","吨","万美元","玉米",3,"日本",41823.8,571.5,43272.9,496.9,-3.3,15,6
2005,"01","出口","吨","万美元","豆粕",0,"合计",45874.9,1223.3,22942.3,591.6,100,106.8,4
2005,"01","出口","吨","万美元","豆粕",1,"日本",38713.5,1017.8,18832.8,486.5,105.6,109.2,4
2005,"01","出口","吨","万美元","豆粕",2,"韩国",3196.4,85.1,1183.7,18.8,170,352,4
2005,"01","出口","吨","万美元","豆粕",3,"朝鲜",2457.5,65.5,2285.8,67,7.5,-2.1,4
2005,"01","出口","吨","万美元","猪肉",0,"合计",22693.5,3740,10317.4,1508.4,120,147.9,7
2005,"01","出口","吨","万美元","猪肉",1,"香港",7064.8,1280.5,5597.2,799.5,26.2,60.2,7
2005,"01","出口","吨","万美元","猪肉",2,"朝鲜",5068.6,782.9,2711.2,369.2,87,112.1,7
2005,"01","出口","吨","万美元","猪肉",3,"俄罗斯联邦",5295,749.2,603.2,83.3,777.8,799.2,7
2005,"01","出口","吨","万美元","植物油",0,"合计",7103.8,838.1,4462.1,511.6,59.2,63.8,6
2005,"01","出口","吨","万美元","植物油",1,"香港",1218,155.7,2682.3,291.3,-54.6,-46.6,6
2005,"01","出口","吨","万美元","植物油",2,"阿拉伯联合酋长国",1735,129.9,0,0,NA,NA,6
2005,"01","出口","吨","万美元","植物油",3,"台湾省",510.9,84.8,142.5,14.1,258.5,500.4,6
2005,"01","出口","吨","万美元","棉花",0,"合计",204.4,26.2,1149.8,152.6,-82.2,-82.8,5
2005,"01","出口","吨","万美元","棉花",1,"印度尼西亚",194.1,24.7,157,21.9,23.6,12.8,5
2005,"01","出口","吨","万美元","棉花",2,"韩国",10.3,1.5,489,64.2,-97.9,-97.6,5
