"year","month","type","quantity","currency","cat","V0","V1","V2","V3","V4","V5","V6","V7","page"
2003,"07","出口","吨","万美元","大米",0,"合计",1387182.7,25613.5,775199.2,15347.4,78.9,66.9,4
2003,"07","出口","吨","万美元","大米",1,"科特迪瓦",497635.4,7058.8,219428.1,3059.7,126.8,130.7,4
2003,"07","出口","吨","万美元","大米",2,"俄罗斯联邦",177367.4,4186.8,107121,2423,65.6,72.8,4
2003,"07","出口","吨","万美元","大米",3,"日本",88871.1,2058.4,82753.6,2401.3,7.4,-14.3,4
2003,"07","出口","吨","万美元","小麦",0,"合计",909435.3,10352.4,456727.6,4635.5,99.1,123.3,6
2003,"07","出口","吨","万美元","小麦",1,"韩国",411107.5,4307.8,380554.4,3849.4,8,11.9,6
2003,"07","出口","吨","万美元","小麦",2,"越南",197845.9,2413.2,0,0,NA,NA,6
2003,"07","出口","吨","万美元","小麦",3,"菲律宾",185144.2,2068.4,31375.1,321.6,490.1,543.2,6
2003,"07","出口","吨","万美元","玉米",0,"合计",8139836.1,85686.8,4519249.7,46472.8,80.1,84.4,6
2003,"07","出口","吨","万美元","玉米",1,"韩国",3772647.3,39664.7,2174218.4,22483.4,73.5,76.4,6
2003,"07","出口","吨","万美元","玉米",2,"马来西亚",1394371.7,14492.7,1266945.2,12949.8,10.1,11.9,6
2003,"07","出口","吨","万美元","玉米",3,"伊朗",873693.4,9277.1,0,0,NA,NA,6
2003,"07","出口","吨","万美元","豆粕",0,"合计",477560.1,10313.9,707251.9,13125.3,-32.5,-21.4,4
2003,"07","出口","吨","万美元","豆粕",1,"日本",309240.5,6562.4,367180.5,6792.3,-15.8,-3.4,4
2003,"07","出口","吨","万美元","豆粕",2,"韩国",71393.4,1585.1,105892,1921.2,-32.6,-17.5,4
2003,"07","出口","吨","万美元","豆粕",3,"马来西亚",44447.9,957.2,112149.6,2064.4,-60.4,-53.6,4
2003,"07","出口","吨","万美元","猪肉",0,"合计",109025.2,13342.9,93128.4,12097.7,17.1,10.3,7
2003,"07","出口","吨","万美元","猪肉",1,"香港",40657.3,5169.3,33933.8,4567,19.8,13.2,7
2003,"07","出口","吨","万美元","猪肉",2,"俄罗斯联邦",42967.5,4900.7,42989.8,5362.1,-0.1,-8.6,7
2003,"07","出口","吨","万美元","猪肉",3,"朝鲜",16161.9,1930,6539.2,688,147.2,180.5,7
2003,"07","出口","吨","万美元","植物油",0,"合计",43524.7,4544.2,80552,4861.2,-46,-6.5,6
2003,"07","出口","吨","万美元","植物油",1,"香港",19512.4,1815.8,60514.9,3073.8,-67.8,-40.9,6
2003,"07","出口","吨","万美元","植物油",2,"韩国",5923.4,721.4,5717.1,339.2,3.6,112.7,6
2003,"07","出口","吨","万美元","植物油",3,"马来西亚",3830.7,381.2,1894.9,120.5,102.2,216.4,6
2003,"07","出口","吨","万美元","棉花",0,"合计",80693.7,9062.2,66552.8,7560.4,21.2,19.9,5
2003,"07","出口","吨","万美元","棉花",1,"韩国",21734.3,2538.1,14494.5,1472.6,49.9,72.4,5
2003,"07","出口","吨","万美元","棉花",2,"印度尼西亚",18201.2,2003.5,7603.7,843.8,139.4,137.4,5
2003,"07","出口","吨","万美元","棉花",3,"泰国",17347.2,1850.7,2812.9,319.3,516.7,479.7,5
