"year","month","type","quantity","currency","cat","V0","V1","V2","V3","V4","V5","V6","V7","page"
2004,"10","出口","吨","万美元","大米",0,"合计",799892.3,19215.7,2073648,37873.5,-61.4,-49.3,4
2004,"10","出口","吨","万美元","大米",1,"日本",78104.4,4582.4,101265.9,2602.9,-22.9,76,4
2004,"10","出口","吨","万美元","大米",2,"科特迪瓦",202099.4,2995.5,846396.2,12139.4,-76.1,-75.3,4
2004,"10","出口","吨","万美元","大米",3,"俄罗斯联邦",91223.1,2404.8,228592.9,5398.4,-60.1,-55.5,4
2004,"10","出口","吨","万美元","小麦",0,"合计",729445.2,10452.1,1716960,19895.7,-57.5,-47.5,6
2004,"10","出口","吨","万美元","小麦",1,"韩国",316210.4,4615.4,736257.8,7973.4,-57.1,-42.1,6
2004,"10","出口","吨","万美元","小麦",2,"菲律宾",251988.2,3358.1,458667,5259.5,-45.1,-36.2,6
2004,"10","出口","吨","万美元","小麦",3,"越南",90764.2,1372.4,288055,3514.4,-68.5,-60.9,6
2004,"10","出口","吨","万美元","玉米",0,"合计",1931357.4,27321.2,12250538.6,130208.8,-84.2,-79,6
2004,"10","出口","吨","万美元","玉米",1,"韩国",1074980.4,14076.3,5578266,59234.7,-80.7,-76.2,6
2004,"10","出口","吨","万美元","玉米",2,"日本",534099.2,8856,810190.7,8846,-34.1,0.1,6
2004,"10","出口","吨","万美元","玉米",3,"马来西亚",179579.4,2380.4,1898325.3,19886.6,-90.5,-88,6
2004,"10","出口","吨","万美元","豆粕",0,"合计",507501.2,16294.4,673165.4,14829.8,-24.6,9.9,4
2004,"10","出口","吨","万美元","豆粕",1,"日本",450716.3,14412.6,432105.3,9383.6,4.3,53.6,4
2004,"10","出口","吨","万美元","豆粕",2,"韩国",17879.5,560.5,95368.6,2140,-81.3,-73.8,4
2004,"10","出口","吨","万美元","豆粕",3,"马来西亚",14187.3,502.5,62649.7,1377.7,-77.4,-63.5,4
2004,"10","出口","吨","万美元","猪肉",0,"合计",226837.8,35313.7,164910.2,20284.2,37.6,74.1,7
2004,"10","出口","吨","万美元","猪肉",1,"香港",72244.5,11647.6,62926.4,8082.9,14.8,44.1,7
2004,"10","出口","吨","万美元","猪肉",2,"朝鲜",74224.1,11427,31362.3,3648.9,136.7,213.2,7
2004,"10","出口","吨","万美元","猪肉",3,"俄罗斯联邦",51292.1,7358.6,55608.2,6405.9,-7.8,14.9,7
2004,"10","出口","吨","万美元","植物油",0,"合计",70225.8,7718.5,62047.2,6496.4,13.2,18.8,6
2004,"10","出口","吨","万美元","植物油",1,"香港",30564,2946.4,27695.1,2651.8,10.4,11.1,6
2004,"10","出口","吨","万美元","植物油",2,"韩国",8436.2,1070.7,7008.2,874.7,20.4,22.4,6
2004,"10","出口","吨","万美元","植物油",3,"马来西亚",7568.4,749,6461.1,625.7,17.1,19.7,6
2004,"10","出口","吨","万美元","棉花",0,"合计",8967.7,1554.1,97518.4,11316.2,-90.8,-86.3,5
2004,"10","出口","吨","万美元","棉花",1,"日本",2754.3,558.3,1774.7,259.7,55.2,115,5
2004,"10","出口","吨","万美元","棉花",2,"韩国",1718.7,262.5,25466.2,3026.3,-93.3,-91.3,5
2004,"10","出口","吨","万美元","棉花",3,"印度尼西亚",1710.3,254.8,22923.1,2635.1,-92.5,-90.3,5
