"year","month","type","quantity","currency","cat","V0","V1","V2","V3","V4","V5","V6","V7","page"
2008,"02","出口","吨","万美元","大米",0,"合计",345082.4,15553.7,251289.3,10072.6,37.3,54.4,8
2008,"02","出口","吨","万美元","大米",1,"韩国",115223,5672.8,95024,4098.4,21.3,38.4,8
2008,"02","出口","吨","万美元","大米",2,"巴布亚新几内亚",79648.7,3173.6,31719.8,1057.5,151.1,200.1,8
2008,"02","出口","吨","万美元","大米",3,"日本",29634.5,2287.9,29366.9,2146.6,0.9,6.6,8
2008,"02","进口","吨","万美元","大米",0,"合计",138587,7966.3,122201.5,5943.9,13.4,34,12
2008,"02","进口","吨","万美元","大米",1,"泰国",138315.5,7898.3,122200.3,5943.7,13.2,32.9,12
2008,"02","进口","吨","万美元","大米",2,"日本",101,59.7,0.4,0.1,25147.5,59558.1,12
2008,"02","进口","吨","万美元","大米",3,"巴基斯坦",70,5.7,0,0,0,0,12
2008,"02","出口","吨","万美元","小麦",0,"合计",108260.8,2577.8,200641.2,3586.5,-46,-28.1,10
2008,"02","出口","吨","万美元","小麦",1,"印度尼西亚",75323.9,1733.8,0,0,0,0,10
2008,"02","出口","吨","万美元","小麦",2,"菲律宾",17643.5,409.3,52485,884.4,-66.4,-53.7,10
2008,"02","出口","吨","万美元","小麦",3,"马来西亚",9974.8,231.4,0,0,0,0,10
2008,"02","进口","吨","万美元","小麦",0,"合计",2147.7,119.8,65010.3,1574.6,-96.7,-92.4,13
2008,"02","进口","吨","万美元","小麦",1,"日本",685.3,44.4,783.9,34.8,-12.6,27.6,13
2008,"02","进口","吨","万美元","小麦",2,"韩国",295.2,25.6,357.6,16.1,-17.4,58.8,13
2008,"02","进口","吨","万美元","小麦",3,"澳大利亚",567,23.8,19059.4,434.7,-97,-94.5,13
2008,"02","出口","吨","万美元","玉米",0,"合计",45364.1,1064.8,1773668.9,28684.7,-97.4,-96.3,10
2008,"02","出口","吨","万美元","玉米",1,"朝鲜",30136.1,742.2,2260,35.6,1233.5,1986.3,10
2008,"02","出口","吨","万美元","玉米",2,"英国",6924.5,144,1513.7,33.5,357.5,329.8,10
2008,"02","出口","吨","万美元","玉米",3,"瑞士",6319,131.4,0,0,0,0,10
2008,"02","进口","吨","万美元","玉米",0,"合计",358.8,42.4,2854.2,148.4,-87.4,-71.4,13
2008,"02","进口","吨","万美元","玉米",1,"德国",11.3,24,2,4,463.5,499.9,13
2008,"02","进口","吨","万美元","玉米",2,"美国",347,17.9,816.5,30.7,-57.5,-41.8,13
2008,"02","进口","吨","万美元","玉米",12,NA,NA,NA,NA,NA,NA,NA,13
2008,"02","进口","吨","万美元","大豆",0,"合计",5464532.8,297995,3608752.9,111542.2,51.4,167.2,12
2008,"02","进口","吨","万美元","大豆",1,"美国",3954869.4,218379.3,2934871,90971.5,34.8,140.1,12
2008,"02","进口","吨","万美元","大豆",2,"阿根廷",1434482.8,76051.6,494142.3,15020.6,190.3,406.3,12
2008,"02","进口","吨","万美元","大豆",3,"巴西",66620.4,3236.2,178365.5,5505,-62.6,-41.2,12
2008,"02","出口","吨","万美元","豆粕",0,"合计",91588.5,4088.2,132103.4,3381.2,-30.7,20.9,8
2008,"02","出口","吨","万美元","豆粕",1,"日本",43661.4,1930.5,81541.7,2130.5,-46.5,-9.4,8
2008,"02","出口","吨","万美元","豆粕",2,"越南",14476,678.2,60,2.2,24026.6,31299.2,8
2008,"02","出口","吨","万美元","豆粕",3,"美国",5875.4,358.9,2819.8,110.4,108.4,225.1,8
2008,"02","进口","吨","万美元","豆粕",0,"合计",45277,1823.7,14227.5,326.4,218.2,458.8,12
2008,"02","进口","吨","万美元","豆粕",1,"印度",44825,1791.9,14025.1,318.5,219.6,462.6,12
2008,"02","进口","吨","万美元","豆粕",2,"丹麦",325,22.4,0,0,0,0,12
2008,"02","进口","吨","万美元","豆粕",3,"荷兰",75,6.9,0,0,0,0,12
2008,"02","出口","吨","万美元","猪肉",0,"character(0)",NA,NA,NA,NA,NA,NA,10
2008,"02","出口","吨","万美元","植物油",0,"合计",33331.8,4869.6,44949.7,3889.2,-25.8,25.2,10
2008,"02","出口","吨","万美元","植物油",1,"越南",10267.7,1255.6,18.6,2.7,55192,45802.4,10
2008,"02","出口","吨","万美元","植物油",2,"香港",4755.8,759.3,5497.9,604.4,-13.5,25.6,10
2008,"02","出口","吨","万美元","植物油",3,"希腊",3001.2,361.6,0,0,0,0,10
2008,"02","进口","吨","万美元","菜籽油",0,"合计",21883.6,2563.7,53695.5,3980.7,-59.2,-35.6,12
2008,"02","进口","吨","万美元","菜籽油",1,"加拿大",21815.9,2550.2,53621.1,3974.1,-59.3,-35.8,12
2008,"02","进口","吨","万美元","菜籽油",2,"日本",42.3,10.4,0,0,0,0,12
2008,"02","进口","吨","万美元","菜籽油",3,"美国",19.9,2.3,12.4,0.8,60.1,174.5,12
2008,"02","进口","吨","万美元","豆油",0,"合计",500238.7,51975.1,364259.1,23811.3,37.3,118.3,12
2008,"02","进口","吨","万美元","豆油",1,"阿根廷",351548.7,36209.7,309446.9,20141.4,13.6,79.8,12
2008,"02","进口","吨","万美元","豆油",2,"巴西",85606.6,8938.4,23450,1552.3,265.1,475.8,12
2008,"02","进口","吨","万美元","豆油",3,"美国",63078.3,6826.1,30336.9,2041.7,107.9,234.3,12
2008,"02","出口","吨","万美元","棉花",0,"合计",613.8,121.5,2766.6,408.5,-77.8,-70.3,9
2008,"02","出口","吨","万美元","棉花",1,"印度",219.8,47.1,19.2,5.5,1045.6,763.2,9
2008,"02","出口","吨","万美元","棉花",2,"巴基斯坦",135.9,29.1,0,0,0,0,9
2008,"02","出口","吨","万美元","棉花",3,"日本",97.3,18.6,1344.2,173.4,-92.8,-89.3,9
2008,"02","进口","吨","万美元","棉花",0,"合计",315880.9,49532.3,248309.9,33005.6,27.2,50.1,12
2008,"02","进口","吨","万美元","棉花",1,"印度",185354.3,28400,115513.2,14644.5,60.5,93.9,12
2008,"02","进口","吨","万美元","棉花",2,"美国",66212.7,10811.4,42541.6,5950.1,55.6,81.7,12
2008,"02","进口","吨","万美元","棉花",11,NA,NA,NA,NA,NA,NA,NA,12
2008,"02","进口","吨","万美元","羊毛",0,"合计",44785.7,28386.9,40317.8,21010.8,11.1,35.1,13
2008,"02","进口","吨","万美元","羊毛",1,"澳大利亚",26438.3,21882.4,25713,16064,2.8,36.2,13
2008,"02","进口","吨","万美元","羊毛",2,"新西兰",5490.7,2185.6,3559.8,1414.4,54.2,54.5,13
2008,"02","进口","吨","万美元","羊毛",3,"乌拉圭",3242.5,1190.9,3768.4,1179.6,-14,1,13
